"","make","year","m22","mean_disp","oil","yr"
"1","Acura",1986,50,2,31.6,"86"
"2","Acura",1987,33.3,2.3,38.95,"87"
"3","Acura",1988,50,2.2,30.28,"88"
"4","Acura",1989,50,2.2,35.28,"89"
"5","Acura",1990,50,2.2,43.57,"90"
"6","Acura",1991,33.3,2.7,35.25,"91"
"7","Acura",1992,33.3,2.5,33.05,"92"
"8","Acura",1993,27.3,2.6,28.19,"93"
"9","Acura",1994,27.3,2.7,25.62,"94"
"10","Acura",1995,30,2.7,26.8,"95"
"11","Acura",1996,30,2.7,31.62,"96"
"12","Acura",1997,45.5,2.6,28.55,"97"
"13","Acura",1998,41.7,2.7,18.72,"98"
"14","Acura",1999,45.5,2.7,25.89,"99"
"15","Acura",2000,42.9,2.6,39.72,"00"
"16","Acura",2001,33.3,2.8,33.13,"01"
"17","Acura",2002,33.3,2.8,33.38,"02"
"18","Acura",2003,30,2.9,37.61,"03"
"19","Acura",2004,45.5,2.8,48.62,"04"
"20","Acura",2005,45.5,2.8,67,"05"
"21","Acura",2006,55.6,2.7,77.55,"06"
"22","Acura",2007,25,3.1,83.79,"07"
"23","Acura",2008,25,3.1,108.42,"08"
"24","Acura",2009,28.6,3.1,68.99,"09"
"25","Acura",2010,18.2,3.2,87.5,"10"
"26","Acura",2011,33.3,3.1,118.71,"11"
"27","Acura",2012,41.7,3.1,116.73,"12"
"28","Acura",2013,71.4,3,111.95,"13"
"29","Acura",2014,81.2,3,100.31,"14"
"30","Acura",2015,90,3.1,53.05,"15"
"31","Acura",2016,91.7,3.3,43.73,"16"
"32","Alfa Romeo",1984,0,2.2,66.48,"84"
"33","Alfa Romeo",1985,0,2.2,61.47,"85"
"34","Alfa Romeo",1986,0,2.2,31.6,"86"
"35","Alfa Romeo",1987,0,2.5,38.95,"87"
"36","Alfa Romeo",1988,0,2.5,30.28,"88"
"37","Alfa Romeo",1989,0,2.5,35.28,"89"
"38","Alfa Romeo",1990,100,2,43.57,"90"
"39","Alfa Romeo",1991,20,2.6,35.25,"91"
"40","Alfa Romeo",1992,20,2.6,33.05,"92"
"41","Alfa Romeo",1993,20,2.6,28.19,"93"
"42","Alfa Romeo",1994,33.3,2.7,25.62,"94"
"43","Alfa Romeo",1995,0,3,26.8,"95"
"44","Alfa Romeo",2009,0,4.7,68.99,"09"
"45","Alfa Romeo",2015,100,1.8,53.05,"15"
"46","Alfa Romeo",2016,100,1.8,43.73,"16"
"47","Aston Martin",1984,0,5.3,66.48,"84"
"48","Aston Martin",1985,0,5.3,61.47,"85"
"49","Aston Martin",1987,0,5.3,38.95,"87"
"50","Aston Martin",1988,0,5.3,30.28,"88"
"51","Aston Martin",1989,0,5.3,35.28,"89"
"52","Aston Martin",1991,0,5.3,35.25,"91"
"53","Aston Martin",1992,0,5.3,33.05,"92"
"54","Aston Martin",1993,0,5.3,28.19,"93"
"55","Aston Martin",1997,0,3.2,28.55,"97"
"56","Aston Martin",1998,0,3.2,18.72,"98"
"57","Aston Martin",2000,0,5.9,39.72,"00"
"58","Aston Martin",2002,0,5.9,33.38,"02"
"59","Aston Martin",2003,0,5.9,37.61,"03"
"60","Aston Martin",2004,0,5.9,48.62,"04"
"61","Aston Martin",2005,0,5.9,67,"05"
"62","Aston Martin",2006,0,5.6,77.55,"06"
"63","Aston Martin",2007,0,5.4,83.79,"07"
"64","Aston Martin",2008,0,5.4,108.42,"08"
"65","Aston Martin",2009,0,5.5,68.99,"09"
"66","Aston Martin",2010,0,5.6,87.5,"10"
"67","Aston Martin",2011,0,5.5,118.71,"11"
"68","Aston Martin",2012,0,5.5,116.73,"12"
"69","Aston Martin",2013,0,4.9,111.95,"13"
"70","Aston Martin",2014,0,5.2,100.31,"14"
